experiment_number,model,dataset,accuracy,auprc,peak_gpu_memory_mb,peak_gpu_memory_gb,flops_per_epoch,total_gflops,epochs_completed,total_training_time,total_runtime,flops_efficiency,gflops_per_second,avg_gpu_memory_mb,avg_gpu_utilization_percent,avg_gpu_temperature_c,monitoring_samples_collected,performance_class,runtime_class,memory_class,computational_intensity,estimated_energy_kwh,energy_efficiency
1,TimesURL,Chinatown,0.9854,0,911,0.8896484375,112641278.157075,0.112641278157075,1,24.3,24.59,8.74812516443475,0.00458077585022671,772.574468085106,32.5106382978723,41.6808510638298,47,excellent,fast,medium,unknown,0.000444131442080378,2218.71254010803
2,SoftCLT,Chinatown,0.9796,0,852,0.83203125,52297736.2872133,0.0522977362872133,1,7.8,8.4,18.7312122769549,0.00622592098657301,739.1875,16.1875,44.4375,16,excellent,very_fast,medium,unknown,7.55416666666666E-05,12967.6778819636
3,TimeHUT,Chinatown,0.9738,0.9969,836,0.81640625,60343541.8698615,0.0603435418698615,1,7.8,8.38,16.1376009731103,0.00720089998447035,732.875,21.4375,45.375,16,excellent,very_fast,medium,unknown,9.98034722222222E-05,9757.17556030254
4,TS2vec,Chinatown,0.9708,0,834,0.814453125,48274833.4958892,0.0482748334958892,1,5.8,6.28,20.1098570351914,0.00768707539743459,695,16.5,46.4166666666667,12,excellent,very_fast,medium,unknown,5.75666666666667E-05,16863.9258830342
5,CoST,Chinatown,0.9504,0,757,0.7392578125,240000000,0.24,1,21.1,21.41,3.96,0.0112097150864082,687.692307692308,5.25641025641026,47.4358974358974,39,excellent,fast,medium,unknown,6.25220797720798E-05,15201.0298356136
6,CPC,Chinatown,0.93,0,703,0.6865234375,120000000,0.12,1,13.7,14.09,7.75,0.0085166784953868,651.576923076923,1.23076923076923,48.2307692307692,26,good,fast,medium,unknown,9.63418803418803E-06,96531.2278211498
7,TS_TCC,Chinatown,0.9359,0,682,0.666015625,68389347.4525097,0.0683893474525097,1,9.5,10.06,13.6848798074861,0.00679814587003079,626.421052631579,0.631578947368421,50,19,good,fast,medium,unknown,3.52982456140351E-06,265140.656063618
8,TLoss,Chinatown,0.7668,0,697,0.6806640625,56320639.0785374,0.0563206390785374,1,161.9,162.5,13.6149023261388,0.000346588548175615,689.610169491525,2.56610169491525,44.1762711864407,295,moderate,slow,medium,unknown,0.000231661958568738,3309.99532567828
9,TNC,Chinatown,0.4781,0,690,0.673828125,192000000,0.192,1,33.8,34.43,2.49010416666667,0.00557653209410398,671.553846153846,1.13846153846154,43.3230769230769,65,very_poor,medium,medium,unknown,2.17762393162393E-05,21955.1224183812
10,TFC,Chinatown,0.5948,0,684,0.66796875,72412250.2438338,0.0724122502438338,1,9.4,10.1,8.21407977237456,0.00716952972711226,628.842105263158,0.842105263157895,44.6842105263158,19,poor,fast,medium,unknown,4.72514619883041E-06,125879.702970297
11,MF_CLR,Chinatown,0.449,0,968,0.9453125,52297736.2872133,0.0522977362872133,1,8.2,8.47,8.5854576483797,0.006174467094122,630.0625,0.5,46.5,16,very_poor,very_fast,medium,unknown,2.35277777777778E-06,190838.252656434
