experiment_number,model,dataset,model_family,dataset_type,timestamp,accuracy,f1_score,auprc,status,time_per_epoch_seconds,peak_gpu_memory_mb,peak_gpu_memory_gb,flops_per_epoch,total_gflops,epochs_completed,total_training_time,total_runtime,accuracy_per_second,flops_efficiency,memory_efficiency,time_efficiency,gflops_per_second,avg_gpu_memory_mb,avg_gpu_utilization_percent,avg_gpu_temperature_c,monitoring_samples_collected,performance_class,runtime_class,memory_class,computational_intensity,estimated_energy_kwh,energy_efficiency
1,TimesURL,Chinatown,TimesURL,UCR,2025-08-28 12:40:43,0.0,0.0,0.0,success,0.0,0,0.0,112641278.15707481,0.11264127815707481,1,0.58,0.58,0.0,0.0,0.0,0.0,0.19420910027081864,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
2,SoftCLT,Chinatown,TS2vec,UCR,2025-08-28 12:40:43,0.0,0.0,0.0,success,0.0,0,0.0,52297736.28721331,0.05229773628721331,1,0.31,0.31,0.0,0.0,0.0,0.0,0.16870237512004294,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
3,TimeHUT,Chinatown,TS2vec,UCR,2025-08-28 12:40:44,0.0,0.0,0.0,success,0.0,0,0.0,60343541.86986151,0.06034354186986152,1,0.27,0.27,0.0,0.0,0.0,0.0,0.2234945995180056,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
4,TS2vec,Chinatown,TS2vec,UCR,2025-08-28 12:40:44,0.0,0.0,0.0,success,0.0,0,0.0,48274833.49588921,0.04827483349588921,1,0.27,0.27,0.0,0.0,0.0,0.0,0.17879567961440446,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
5,CoST,Chinatown,MF-CLR,UCR,2025-08-28 12:40:44,0.0,0.0,0.0,success,0.0,0,0.0,100572569.78310253,0.10057256978310253,1,0.26,0.26,0.0,0.0,0.0,0.0,0.38681757608885586,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
6,CPC,Chinatown,MF-CLR,UCR,2025-08-28 12:40:45,0.0,0.0,0.0,success,0.0,0,0.0,76435153.03515792,0.07643515303515792,1,0.27,0.27,0.0,0.0,0.0,0.0,0.28309315938947377,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
7,TS_TCC,Chinatown,MF-CLR,UCR,2025-08-28 12:40:45,0.0,0.0,0.0,success,0.0,0,0.0,68389347.45250972,0.06838934745250971,1,0.27,0.27,0.0,0.0,0.0,0.0,0.25329387945373966,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
8,TLoss,Chinatown,MF-CLR,UCR,2025-08-28 12:40:45,0.0,0.0,0.0,success,0.0,0,0.0,56320639.078537405,0.056320639078537404,1,0.27,0.27,0.0,0.0,0.0,0.0,0.20859495955013851,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
9,TNC,Chinatown,MF-CLR,UCR,2025-08-28 12:40:45,0.0,0.0,0.0,success,0.0,0,0.0,64366444.661185615,0.06436644466118562,1,0.27,0.27,0.0,0.0,0.0,0.0,0.23839423948587263,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
10,TFC,Chinatown,MF-CLR,UCR,2025-08-28 12:40:46,0.0,0.0,0.0,success,0.0,0,0.0,72412250.24383381,0.07241225024383381,1,0.27,0.27,0.0,0.0,0.0,0.0,0.2681935194216067,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
11,MF_CLR,Chinatown,MF-CLR,UCR,2025-08-28 12:40:46,0.0,0.0,0.0,success,0.0,0,0.0,52297736.28721331,0.05229773628721331,1,0.26,0.26,0.0,0.0,0.0,0.0,0.20114513956620506,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
