Scenario,Description,Dataset,Status,Total_Training_Time,Accuracy,F1_Score,Peak_GPU_Memory,GFLOPs_Per_Epoch,AUPRC,Precision,Recall,Final_Loss,Convergence_Epoch,Peak_CPU_Memory_MB,Total_Estimated_GFLOPs,Batch_Size,Epochs,AMC_Instance,AMC_Temporal,AMC_Margin,Min_Tau,Max_Tau,Temp_Method,Accuracy_Per_GFLOPs,Accuracy_Per_Second,Timestamp
Baseline,Standard TS2vec without any enhancements,Chinatown,success,8.89,0.965015,0.000000,1362.2,0.500,0.997294,0.000000,0.000000,1.975203,-1,99.5,100.00,8,200,0.0,0.0,0.5,0.4,0.4,fixed,0.00965015,0.108529,2025-08-29T01:23:25.239609
AMC_Instance,Angular Margin Contrastive for instance discrimination,Chinatown,success,9.90,0.988338,0.000000,1286.6,0.650,0.998386,0.000000,0.000000,2.756283,-1,99.6,130.00,8,200,1.0,0.0,0.5,0.4,0.4,fixed,0.00760260,0.099802,2025-08-29T01:23:35.145014
AMC_Temporal,Angular Margin Contrastive for temporal relationships,Chinatown,success,10.49,0.985423,0.000000,1286.4,0.700,0.998319,0.000000,0.000000,2.719920,-1,99.6,140.00,8,200,0.0,1.0,0.5,0.4,0.4,fixed,0.00703873,0.093980,2025-08-29T01:23:45.632819
Temperature_Linear,Linear temperature scheduling,Chinatown,success,8.05,0.976676,0.000000,1286.4,0.550,0.998120,0.000000,0.000000,5.409157,-1,99.6,110.00,8,200,0.0,0.0,0.5,0.15,0.75,linear,0.00887888,0.121256,2025-08-29T01:23:53.690186
Temperature_Cosine,Cosine annealing temperature scheduling,Chinatown,success,8.07,0.985423,0.000000,1282.6,0.600,0.998196,0.000000,0.000000,5.480881,-1,99.6,120.00,8,200,0.0,0.0,0.5,0.15,0.75,cosine_annealing,0.00821186,0.122132,2025-08-29T01:24:01.761074
Temperature_Exponential,Exponential decay temperature scheduling,Chinatown,success,8.13,0.979592,0.000000,1274.4,0.580,0.998460,0.000000,0.000000,4.575833,-1,99.6,116.00,8,200,0.0,0.0,0.5,0.15,0.75,exponential_decay,0.00844476,0.120529,2025-08-29T01:24:09.890857
AMC_Both,Combined AMC instance and temporal losses,Chinatown,success,11.86,0.979592,0.000000,1278.4,0.705,0.998374,0.000000,0.000000,2.836690,-1,99.6,141.00,8,200,0.7,0.5,0.5,0.4,0.4,fixed,0.00694746,0.082616,2025-08-29T01:24:21.750283
AMC_Temperature_Linear,AMC losses with linear temperature scheduling,Chinatown,success,12.45,0.979592,0.000000,1278.8,0.800,0.997773,0.000000,0.000000,5.157868,-1,99.7,160.00,8,200,1.0,0.5,0.5,0.15,0.75,linear,0.00612245,0.078712,2025-08-29T01:24:34.197930
AMC_Temperature_Cosine,AMC losses with cosine annealing (recommended setup),Chinatown,success,12.96,0.988338,0.000000,1288.6,0.940,0.997932,0.000000,0.000000,7.523051,-1,99.7,188.00,8,200,1.2,0.8,0.4,0.12,0.82,cosine_annealing,0.00525712,0.076288,2025-08-29T01:24:47.155590
AMC_Temperature_Exponential,AMC losses with exponential decay temperature,Chinatown,success,12.19,0.985423,0.000000,1288.6,0.830,0.998692,0.000000,0.000000,4.427078,-1,99.7,166.00,8,200,1.0,0.5,0.5,0.15,0.75,exponential_decay,0.00593628,0.080871,2025-08-29T01:24:59.343094
AMC_Temperature_Polynomial,AMC losses with polynomial decay temperature,Chinatown,success,13.10,0.982507,0.000000,1288.5,0.750,0.998345,0.000000,0.000000,5.710773,-1,99.7,150.00,8,200,1.0,0.5,0.5,0.15,0.75,polynomial_decay,0.00655005,0.075000,2025-08-29T01:25:12.445584
AMC_Temperature_Sigmoid,AMC losses with sigmoid decay temperature,Chinatown,success,11.69,0.979592,0.000000,1288.6,0.750,0.997595,0.000000,0.000000,6.510077,-1,99.7,150.00,8,200,1.0,0.5,0.5,0.15,0.75,sigmoid_decay,0.00653061,0.083762,2025-08-29T01:25:24.143059
AMC_Temperature_Step,AMC losses with step decay temperature,Chinatown,success,11.96,0.970845,0.000000,1288.6,0.750,0.997486,0.000000,0.000000,9.502693,-1,99.9,150.00,8,200,1.0,0.5,0.5,0.15,0.75,step_decay,0.00647230,0.081192,2025-08-29T01:25:36.102852
AMC_Temperature_WarmupCosine,AMC losses with warmup followed by cosine annealing,Chinatown,success,11.91,0.985423,0.000000,1288.6,0.750,0.998480,0.000000,0.000000,4.713364,-1,99.9,150.00,8,200,1.0,0.5,0.5,0.15,0.75,warmup_cosine,0.00656948,0.082741,2025-08-29T01:25:48.014888
AMC_Temperature_Constant,AMC losses with constant temperature (baseline AMC),Chinatown,success,11.98,0.979592,0.000000,1288.4,0.750,0.997502,0.000000,0.000000,2.614547,-1,99.9,150.00,8,200,1.0,0.5,0.5,0.4,0.4,constant_temperature,0.00653061,0.081761,2025-08-29T01:25:59.998346
AMC_Temperature_Cyclic,AMC losses with cyclic (sawtooth) temperature scheduling,Chinatown,success,11.91,0.976676,0.000000,1288.4,0.750,0.997514,0.000000,0.000000,6.006335,-1,99.9,150.00,8,200,1.0,0.5,0.5,0.15,0.75,cyclic_temperature,0.00651118,0.082024,2025-08-29T01:26:11.907816
AMC_Temperature_AdaptiveCosine,AMC losses with adaptive cosine annealing based on performance,Chinatown,success,14.01,0.982507,0.000000,1288.6,0.785,0.998452,0.000000,0.000000,7.071109,-1,99.9,157.00,8,200,1.1,0.6,0.45,0.12,0.78,adaptive_cosine_annealing,0.00625801,0.070154,2025-08-29T01:26:25.915261
AMC_Temperature_MultiCycleCosine,AMC losses with multi-cycle cosine annealing,Chinatown,success,12.81,0.973761,0.000000,1288.6,0.750,0.997459,0.000000,0.000000,5.264270,-1,99.9,150.00,8,200,1.0,0.5,0.5,0.15,0.75,multi_cycle_cosine,0.00649174,0.076036,2025-08-29T01:26:38.724206
AMC_Temperature_CosineRestarts,AMC losses with cosine annealing with warm restarts,Chinatown,success,11.83,0.982507,0.000000,1288.6,0.750,0.998566,0.000000,0.000000,5.861904,-1,99.9,150.00,8,200,1.0,0.5,0.5,0.15,0.75,cosine_with_restarts,0.00655005,0.083037,2025-08-29T01:26:50.558653
AMC_HighImpact_Cosine,High-impact AMC configuration with cosine annealing,Chinatown,success,13.10,0.976676,0.000000,1288.8,1.025,0.997072,0.000000,0.000000,6.759331,-1,99.9,205.00,8,200,1.5,1.0,0.3,0.1,0.8,cosine_annealing,0.00476428,0.074564,2025-08-29T01:27:03.659495
AMC_Balanced_MultiCycle,Balanced AMC with multi-cycle cosine for extended training,Chinatown,success,11.93,0.982507,0.000000,1288.6,0.740,0.998345,0.000000,0.000000,4.341276,-1,99.9,148.00,8,200,0.8,0.6,0.4,0.2,0.7,multi_cycle_cosine,0.00663856,0.082352,2025-08-29T01:27:15.592508
AMC_Conservative_Warmup,Conservative AMC with warmup cosine for stable training,Chinatown,success,12.14,0.982507,0.000000,1288.6,0.685,0.997850,0.000000,0.000000,3.469137,-1,99.9,137.00,8,200,0.7,0.4,0.6,0.25,0.65,warmup_cosine,0.00717159,0.080931,2025-08-29T01:27:27.734966
AMC_Temperature_MomentumAdaptive,AMC with novel momentum-based adaptive temperature scheduling,Chinatown,success,11.76,0.985423,0.000000,1288.5,0.750,0.998066,0.000000,0.000000,6.019815,-1,99.9,150.00,8,200,1.0,0.5,0.5,0.15,0.75,momentum_adaptive,0.00656948,0.083824,2025-08-29T01:27:39.493148
AMC_Temperature_Triangular,AMC with triangular wave temperature scheduling (CLR-inspired),Chinatown,success,11.97,0.979592,0.000000,1288.5,0.750,0.997635,0.000000,0.000000,4.809297,-1,99.9,150.00,8,200,1.0,0.5,0.5,0.15,0.75,triangular,0.00653061,0.081837,2025-08-29T01:27:51.465628
AMC_Temperature_OneCycle,AMC with OneCycle temperature scheduling for superconvergence,Chinatown,success,12.01,0.982507,0.000000,1288.5,0.750,0.998165,0.000000,0.000000,5.366685,-1,100.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,onecycle,0.00655005,0.081807,2025-08-29T01:28:03.477945
AMC_Temperature_HyperbolicTangent,AMC with hyperbolic tangent smooth S-curve temperature scheduling,Chinatown,success,12.66,0.985423,0.000000,1268.6,0.750,0.998355,0.000000,0.000000,5.626965,-1,100.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,hyperbolic_tangent,0.00656948,0.077828,2025-08-29T01:28:16.141774
AMC_Temperature_Logarithmic,AMC with logarithmic decay for gentle long-tail reduction,Chinatown,success,13.46,0.985423,0.000000,1268.8,0.750,0.998456,0.000000,0.000000,5.836495,-1,100.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,logarithmic,0.00656948,0.073222,2025-08-29T01:28:29.602127
AMC_Temperature_PiecewisePlateau,AMC with piecewise linear segments and stability plateaus,Chinatown,success,11.90,0.985423,0.000000,1268.8,0.750,0.997632,0.000000,0.000000,4.384672,-1,100.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,piecewise_linear_plateau,0.00656948,0.082789,2025-08-29T01:28:41.507273
AMC_Temperature_InverseTimeDecay,AMC with inverse time decay (proven convergence properties),Chinatown,success,11.83,0.979592,0.000000,1268.8,0.750,0.998462,0.000000,0.000000,4.940650,-1,100.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,inverse_time_decay,0.00653061,0.082814,2025-08-29T01:28:53.338535
AMC_Temperature_DoubleExponential,AMC with double exponential (bi-phase: rapid then slow decay),Chinatown,success,12.49,0.982507,0.000000,1269.1,0.750,0.998686,0.000000,0.000000,5.002172,-1,100.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,double_exponential,0.00655005,0.078677,2025-08-29T01:29:05.828763
AMC_Temperature_NoisyCosine,AMC with noisy cosine annealing (exploration with decaying noise),Chinatown,success,12.06,0.970845,0.000000,1268.9,0.750,0.997041,0.000000,0.000000,5.217875,-1,100.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,noisy_cosine,0.00647230,0.080487,2025-08-29T01:29:17.893199
AMC_Efficient_OneCycle,Efficiency-optimized AMC with OneCycle for fast convergence,Chinatown,success,11.82,0.982507,0.000000,1268.9,0.700,0.998805,0.000000,0.000000,7.004740,-1,100.0,140.00,8,200,0.8,0.4,0.4,0.12,0.68,onecycle,0.00701791,0.083129,2025-08-29T01:29:29.714701
AMC_Balanced_Triangular,Balanced AMC with triangular exploration cycles,Chinatown,success,12.03,0.985423,0.000000,1268.8,0.755,0.998337,0.000000,0.000000,4.581164,-1,100.0,151.00,8,200,0.9,0.6,0.45,0.18,0.72,triangular,0.00652598,0.081905,2025-08-29T01:29:41.748269
AMC_HighPerf_InverseTime,High-performance AMC with mathematically proven inverse time decay,Chinatown,success,11.76,0.985423,0.000000,1268.8,0.805,0.998316,0.000000,0.000000,8.433265,-1,100.0,161.00,8,200,1.1,0.7,0.35,0.1,0.8,inverse_time_decay,0.00612064,0.083783,2025-08-29T01:29:53.512297
