Scenario,Description,Dataset,Status,Accuracy,F1_Score,AUPRC,Precision,Recall,Total_Training_Time,Peak_GPU_Memory_MB,GFLOPs_Per_Epoch,Final_Loss,Convergence_Epoch,Peak_CPU_Memory_MB,GPU_Total_Memory_MB,Total_Estimated_GFLOPs,Batch_Size,Epochs,AMC_Instance,AMC_Temporal,AMC_Margin,Min_Tau,Max_Tau,Temp_Method,Accuracy_Per_GFLOPs,Accuracy_Per_Second,Timestamp
Baseline,Standard TS2vec without any enhancements,Chinatown,success,0.985423,0.985423,0.997757,0.936152,1.000000,8.16,1374.9,0.500,2.210391,-1,99.7,24576.0,100.00,8,200,0.0,0.0,0.5,0.4,0.4,fixed,0.00985423,0.120812,2025-08-29T01:46:20.207414
AMC_Instance,Angular Margin Contrastive for instance discrimination,Chinatown,success,0.982507,0.982507,0.998552,0.933382,1.000000,10.16,1375.4,0.650,2.734423,-1,99.8,24576.0,130.00,8,200,1.0,0.0,0.5,0.4,0.4,fixed,0.00755775,0.096688,2025-08-29T01:46:30.371535
AMC_Temporal,Angular Margin Contrastive for temporal relationships,Chinatown,success,0.985423,0.985423,0.997781,0.936152,1.000000,10.28,1375.1,0.700,2.570325,-1,99.8,24576.0,140.00,8,200,0.0,1.0,0.5,0.4,0.4,fixed,0.00703873,0.095874,2025-08-29T01:46:40.652202
Temperature_Linear,Linear temperature scheduling,Chinatown,success,0.979592,0.979592,0.998076,0.930612,0.999184,8.05,1375.1,0.550,4.656417,-1,99.8,24576.0,110.00,8,200,0.0,0.0,0.5,0.15,0.75,linear,0.00890538,0.121703,2025-08-29T01:46:48.703664
Temperature_Cosine,Cosine annealing temperature scheduling,Chinatown,success,0.979592,0.979592,0.998241,0.930612,0.999184,8.11,1375.1,0.600,3.823086,-1,99.8,24576.0,120.00,8,200,0.0,0.0,0.5,0.15,0.75,cosine_annealing,0.00816327,0.120817,2025-08-29T01:46:56.814163
Temperature_Exponential,Exponential decay temperature scheduling,Chinatown,success,0.976676,0.976676,0.997777,0.927843,0.996210,8.06,1374.9,0.580,3.922754,-1,99.9,24576.0,116.00,8,200,0.0,0.0,0.5,0.15,0.75,exponential_decay,0.00841962,0.121135,2025-08-29T01:47:04.879216
AMC_Both,Combined AMC instance and temporal losses,Chinatown,success,0.982507,0.982507,0.998404,0.933382,1.000000,11.95,1376.9,0.705,3.145724,-1,100.0,24576.0,141.00,8,200,0.7,0.5,0.5,0.4,0.4,fixed,0.00696814,0.082196,2025-08-29T01:47:16.834675
AMC_Temperature_Linear,AMC losses with linear temperature scheduling,Chinatown,success,0.979592,0.979592,0.997600,0.930612,0.999184,12.73,1376.9,0.800,5.451478,-1,100.0,24576.0,160.00,8,200,1.0,0.5,0.5,0.15,0.75,linear,0.00612245,0.076952,2025-08-29T01:47:29.566814
AMC_Temperature_Cosine,AMC losses with cosine annealing (recommended setup),Chinatown,success,0.982507,0.982507,0.997550,0.933382,1.000000,13.50,1399.6,0.940,6.227054,-1,100.0,24576.0,188.00,8,200,1.2,0.8,0.4,0.12,0.82,cosine_annealing,0.00522610,0.072763,2025-08-29T01:47:43.072044
AMC_Temperature_Exponential,AMC losses with exponential decay temperature,Chinatown,success,0.982507,0.982507,0.997972,0.933382,1.000000,12.86,1376.8,0.830,5.892800,-1,100.2,24576.0,166.00,8,200,1.0,0.5,0.5,0.15,0.75,exponential_decay,0.00591872,0.076428,2025-08-29T01:47:55.929623
AMC_Temperature_Polynomial,AMC losses with polynomial decay temperature,Chinatown,success,0.979592,0.979592,0.997971,0.930612,0.999184,12.85,1366.2,0.750,4.606328,-1,100.2,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,polynomial_decay,0.00653061,0.076242,2025-08-29T01:48:08.780450
AMC_Temperature_Sigmoid,AMC losses with sigmoid decay temperature,Chinatown,success,0.979592,0.979592,0.997635,0.930612,0.999184,14.11,1430.5,0.750,6.665808,-1,100.2,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,sigmoid_decay,0.00653061,0.069424,2025-08-29T01:48:22.893081
AMC_Temperature_Step,AMC losses with step decay temperature,Chinatown,success,0.982507,0.982507,0.998104,0.933382,1.000000,12.33,1406.3,0.750,4.540176,-1,100.2,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,step_decay,0.00655005,0.079692,2025-08-29T01:48:35.224218
AMC_Temperature_WarmupCosine,AMC losses with warmup followed by cosine annealing,Chinatown,success,0.962099,0.962099,0.996651,0.913994,0.981341,12.43,1414.9,0.750,4.658313,-1,100.3,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,warmup_cosine,0.00641399,0.077406,2025-08-29T01:48:47.655879
AMC_Temperature_Constant,AMC losses with constant temperature (baseline AMC),Chinatown,success,0.979592,0.979592,0.997742,0.930612,0.999184,12.14,1407.4,0.750,3.357385,-1,100.3,24576.0,150.00,8,200,1.0,0.5,0.5,0.4,0.4,constant_temperature,0.00653061,0.080663,2025-08-29T01:48:59.802516
AMC_Temperature_Cyclic,AMC losses with cyclic (sawtooth) temperature scheduling,Chinatown,success,0.982507,0.982507,0.997809,0.933382,1.000000,12.48,1392.0,0.750,5.004162,-1,100.3,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,cyclic_temperature,0.00655005,0.078727,2025-08-29T01:49:12.284680
AMC_Temperature_AdaptiveCosine,AMC losses with adaptive cosine annealing based on performance,Chinatown,success,0.985423,0.985423,0.998496,0.936152,1.000000,12.97,1418.4,0.785,6.347741,-1,100.3,24576.0,157.00,8,200,1.1,0.6,0.45,0.12,0.78,adaptive_cosine_annealing,0.00627658,0.075982,2025-08-29T01:49:25.256154
AMC_Temperature_MultiCycleCosine,AMC losses with multi-cycle cosine annealing,Chinatown,success,0.982507,0.982507,0.998138,0.933382,1.000000,12.35,1401.6,0.750,5.569087,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,multi_cycle_cosine,0.00655005,0.079526,2025-08-29T01:49:37.613138
AMC_Temperature_CosineRestarts,AMC losses with cosine annealing with warm restarts,Chinatown,success,0.982507,0.982507,0.998413,0.933382,1.000000,12.09,1389.3,0.750,6.454981,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,cosine_with_restarts,0.00655005,0.081261,2025-08-29T01:49:49.706283
AMC_HighImpact_Cosine,High-impact AMC configuration with cosine annealing,Chinatown,success,0.982507,0.982507,0.997895,0.933382,1.000000,12.09,1394.4,1.025,7.408487,-1,100.4,24576.0,205.00,8,200,1.5,1.0,0.3,0.1,0.8,cosine_annealing,0.00479272,0.081241,2025-08-29T01:50:01.802330
AMC_Balanced_MultiCycle,Balanced AMC with multi-cycle cosine for extended training,Chinatown,success,0.979592,0.979592,0.998760,0.930612,0.999184,11.99,1395.8,0.740,4.066730,-1,100.4,24576.0,148.00,8,200,0.8,0.6,0.4,0.2,0.7,multi_cycle_cosine,0.00661886,0.081701,2025-08-29T01:50:13.794537
AMC_Conservative_Warmup,Conservative AMC with warmup cosine for stable training,Chinatown,success,0.982507,0.982507,0.998925,0.933382,1.000000,12.25,1394.9,0.685,3.618318,-1,100.4,24576.0,137.00,8,200,0.7,0.4,0.6,0.25,0.65,warmup_cosine,0.00717159,0.080213,2025-08-29T01:50:26.045581
AMC_Temperature_MomentumAdaptive,AMC with novel momentum-based adaptive temperature scheduling,Chinatown,success,0.973761,0.973761,0.995995,0.925073,0.993236,12.27,1397.9,0.750,5.095038,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,momentum_adaptive,0.00649174,0.079331,2025-08-29T01:50:38.322495
AMC_Temperature_Triangular,AMC with triangular wave temperature scheduling (CLR-inspired),Chinatown,success,0.985423,0.985423,0.998168,0.936152,1.000000,13.18,1395.8,0.750,4.969987,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,triangular,0.00656948,0.074750,2025-08-29T01:50:51.507672
AMC_Temperature_OneCycle,AMC with OneCycle temperature scheduling for superconvergence,Chinatown,success,0.988338,0.988338,0.998946,0.938921,1.000000,11.88,1393.8,0.750,5.044294,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,onecycle,0.00658892,0.083217,2025-08-29T01:51:03.386641
AMC_Temperature_HyperbolicTangent,AMC with hyperbolic tangent smooth S-curve temperature scheduling,Chinatown,success,0.979592,0.979592,0.997001,0.930612,0.999184,12.42,1393.3,0.750,5.447774,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,hyperbolic_tangent,0.00653061,0.078881,2025-08-29T01:51:15.807649
AMC_Temperature_Logarithmic,AMC with logarithmic decay for gentle long-tail reduction,Chinatown,success,0.982507,0.982507,0.997724,0.933382,1.000000,12.47,1392.6,0.750,4.944621,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,logarithmic,0.00655005,0.078779,2025-08-29T01:51:28.281547
AMC_Temperature_PiecewisePlateau,AMC with piecewise linear segments and stability plateaus,Chinatown,success,0.979592,0.979592,0.997876,0.930612,0.999184,12.65,1388.0,0.750,5.282294,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,piecewise_linear_plateau,0.00653061,0.077443,2025-08-29T01:51:40.933739
AMC_Temperature_InverseTimeDecay,AMC with inverse time decay (proven convergence properties),Chinatown,success,0.985423,0.985423,0.998562,0.936152,1.000000,12.81,1410.8,0.750,5.237815,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,inverse_time_decay,0.00656948,0.076914,2025-08-29T01:51:53.748060
AMC_Temperature_DoubleExponential,AMC with double exponential (bi-phase: rapid then slow decay),Chinatown,success,0.982507,0.982507,0.998232,0.933382,1.000000,16.07,1443.8,0.750,4.645717,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,double_exponential,0.00655005,0.061133,2025-08-29T01:52:09.822098
AMC_Temperature_NoisyCosine,AMC with noisy cosine annealing (exploration with decaying noise),Chinatown,success,0.982507,0.982507,0.997860,0.933382,1.000000,12.94,1437.6,0.750,5.636314,-1,100.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,noisy_cosine,0.00655005,0.075909,2025-08-29T01:52:22.767769
AMC_Efficient_OneCycle,Efficiency-optimized AMC with OneCycle for fast convergence,Chinatown,success,0.985423,0.985423,0.998144,0.936152,1.000000,12.80,1425.1,0.700,5.982853,-1,100.4,24576.0,140.00,8,200,0.8,0.4,0.4,0.12,0.68,onecycle,0.00703873,0.077015,2025-08-29T01:52:35.565529
AMC_Balanced_Triangular,Balanced AMC with triangular exploration cycles,Chinatown,success,0.982507,0.982507,0.997947,0.933382,1.000000,15.40,1440.6,0.755,4.419485,-1,100.4,24576.0,151.00,8,200,0.9,0.6,0.45,0.18,0.72,triangular,0.00650667,0.063802,2025-08-29T01:52:50.967427
AMC_HighPerf_InverseTime,High-performance AMC with mathematically proven inverse time decay,Chinatown,success,0.979592,0.979592,0.997331,0.930612,0.999184,15.36,1433.6,0.805,7.892331,-1,100.4,24576.0,161.00,8,200,1.1,0.7,0.35,0.1,0.8,inverse_time_decay,0.00608442,0.063765,2025-08-29T01:53:06.332534
