experiment_number,model,dataset,model_family,dataset_type,timestamp,accuracy,f1_score,auprc,status,time_per_epoch_seconds,peak_gpu_memory_mb,peak_gpu_memory_gb,flops_per_epoch,total_gflops,epochs_completed,total_training_time,total_runtime,accuracy_per_second,flops_efficiency,memory_efficiency,time_efficiency,gflops_per_second,avg_gpu_memory_mb,avg_gpu_utilization_percent,avg_gpu_temperature_c,monitoring_samples_collected,performance_class,runtime_class,memory_class,computational_intensity,estimated_energy_kwh,energy_efficiency,config_name,component_category,trial_number,description
1,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.8737742391754696,0.830085527216696,0.7863968152579226,success,0.8422470232335494,765.993377343687,0.7480404075621944,25731097004.908485,25.731097004908484,200,168.44940464670987,182.28147274626244,0.00479354388578905,0.03395790855744657,1.1680842777237557,1.037432267579743,0.14116134030103222,536.1953641405809,16.13097883910233,53.6960942267208,364,good,very_slow,low,medium,3.8785111371136335e-05,22528.599462156697,baseline,baseline,1,"Pure TS2Vec baseline (no AMC, no temperature)"
2,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.838168679572225,0.7962602455936136,0.7543518116150025,success,0.9461629579911872,853.9290932672734,0.8339151301438217,27383898956.68444,27.38389895668444,200,189.23259159823743,197.04186179123593,0.004253759439505587,0.03060808400213685,1.00510069823013,0.8858608049418395,0.13897503153770152,597.7503652870913,25.40437681154427,42.46150627620901,394,good,very_slow,low,medium,4.6738827326412645e-05,17933.027581515,baseline,baseline,2,"Pure TS2Vec baseline (no AMC, no temperature)"
3,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.8511492501447705,0.8085917876375319,0.7660343251302935,success,0.7275405961619122,837.1706024618312,0.817549416466632,37031558063.761406,37.03155806376141,200,145.50811923238246,155.0249668068416,0.005490401112004672,0.022984429892991563,1.0410982296621942,1.1698993219552927,0.23887480079194007,586.0194217232818,26.054688045450384,44.37754205433388,310,good,very_slow,low,medium,3.605065134953027e-05,23609.816141528903,baseline,baseline,3,"Pure TS2Vec baseline (no AMC, no temperature)"
4,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9225683590171446,0.8764399410662873,0.8303115231154302,success,0.8646014659853932,1056.8533971042143,1.0320833956095843,45073821117.07299,45.07382111707299,200,172.92029319707865,180.05851836612237,0.005123714042460564,0.020467942059336428,0.8938893532651436,1.067044638844888,0.25032873493617247,739.79737797295,22.897918320671486,48.08182066752738,360,excellent,very_slow,medium,medium,5.285984911466333e-05,17453.1023918724,instance_only,single_component,1,Only instance-wise AMC contrastive loss
5,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9307322005721184,0.8841955905435124,0.8376589805149065,success,1.058762363615845,1015.1361920144914,0.9913439375141517,40674871590.65754,40.67487159065754,200,211.752472723169,224.03783419639393,0.004154352785593476,0.022882240660494053,0.9388590229400903,0.8790756382702509,0.1815535832889793,710.5953344101439,28.658395700181345,45.47045997837873,448,excellent,very_slow,low,medium,6.317469829813927e-05,14732.673453852203,instance_only,single_component,2,Only instance-wise AMC contrastive loss
6,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9513358949071524,0.9037691001617948,0.8562023054164372,success,1.202198116632036,970.9340423636049,0.9481777757457079,38335762637.68958,38.335762637689584,200,240.43962332640717,246.00978869757296,0.0038670652088427975,0.02481588546700391,1.0033307247250767,0.7913303820274854,0.15583023277507407,679.6538296545234,34.67568860679183,48.94573925373611,492,excellent,very_slow,low,medium,6.634979961143076e-05,14338.187914334801,instance_only,single_component,3,Only instance-wise AMC contrastive loss
7,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9044669982748519,0.8592436483611092,0.8140202984473667,success,1.07395055121494,1114.6798234864882,1.0885545151235236,43725231822.14589,43.725231822145886,200,214.79011024298802,220.87375205068227,0.004094950123667526,0.020685241920587346,0.8308881050134798,0.842186818798729,0.19796481662571014,780.2758764405417,24.348574991838504,43.05594748085079,441,excellent,very_slow,medium,medium,6.838986526351469e-05,13225.161283617503,temporal_only,single_component,1,Only temporal AMC contrastive loss
8,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.8754013180048195,0.8316312521045784,0.7878611862043375,success,1.3702583520745373,1153.9896835253726,1.1269430503177467,38878500755.082146,38.87850075508214,200,274.05167041490745,284.2781188987921,0.003079383391855345,0.022516334246515106,0.7767928625656781,0.6388585894619679,0.13676219930568612,807.7927784677607,31.108509844688747,46.98915548430362,568,good,very_slow,medium,medium,9.112611568366817e-05,9606.48120944445,temporal_only,single_component,2,Only temporal AMC contrastive loss
9,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.8899558590997156,0.8454580661447298,0.800960273189744,success,1.4788706679760755,873.5868794750658,0.8531121869873689,40191510349.03778,40.19151034903778,200,295.7741335952151,304.96923321188405,0.002918182433443702,0.022142881702404648,1.0431873705174162,0.6017807225277342,0.13178873791873244,611.510815632546,36.942819305800064,57.740530170165485,609,good,very_slow,low,medium,7.400475577152038e-05,12025.657673235668,temporal_only,single_component,3,Only temporal AMC contrastive loss
10,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.2597994774736607,928.1177369557821,0.906364977495881,62573295142.98483,62.57329514298483,200,251.95989549473214,258.49853711642356,0.0038684938458650392,0.01598125842206204,1.103308297241157,0.7937771192010258,0.2420644071761336,649.6824158690474,28.487153567827683,44.668677047346215,516,excellent,very_slow,low,high,6.664363257635425e-05,15005.184461610648,both_amc,two_component,1,Both AMC losses (no temperature)
