experiment_number,model,dataset,model_family,dataset_type,timestamp,accuracy,f1_score,auprc,status,time_per_epoch_seconds,peak_gpu_memory_mb,peak_gpu_memory_gb,flops_per_epoch,total_gflops,epochs_completed,total_training_time,total_runtime,accuracy_per_second,flops_efficiency,memory_efficiency,time_efficiency,gflops_per_second,avg_gpu_memory_mb,avg_gpu_utilization_percent,avg_gpu_temperature_c,monitoring_samples_collected,performance_class,runtime_class,memory_class,computational_intensity,estimated_energy_kwh,energy_efficiency,config_name,component_category,trial_number,description
1,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00025007724761962893,200,0.1953125,27842115290.451256,27.842115290451257,25,0.0062519311904907235,0.012503862380981445,0.0,0.0,0.0,0.0,2226.681199946627,140.0,19.506269004964466,47.1789235352688,0,very_poor,very_fast,low,medium,1.389318042331272e-09,0.0,baseline,baseline,1,"Pure TS2Vec baseline (no AMC, no temperature)"
2,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002537775039672852,200,0.1953125,33489321901.119167,33.48932190111917,25,0.006344437599182129,0.012688875198364258,0.0,0.0,0.0,0.0,2639.2663949785187,140.0,5.59945944919858,49.97685293420613,0,very_poor,very_fast,low,medium,1.4098750220404733e-09,0.0,baseline,baseline,2,"Pure TS2Vec baseline (no AMC, no temperature)"
3,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002559041976928711,200,0.1953125,32693584051.99324,32.69358405199324,25,0.0063976049423217765,0.012795209884643555,0.0,0.0,0.0,0.0,2555.1424593066777,140.0,8.59509916699058,62.694649851972756,0,very_poor,very_fast,low,medium,1.4216899871826175e-09,0.0,baseline,baseline,3,"Pure TS2Vec baseline (no AMC, no temperature)"
4,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00026351451873779297,200,0.1953125,25845990260.21928,25.84599026021928,25,0.006587862968444824,0.013175725936889648,0.0,0.0,0.0,0.0,1961.6369059298042,140.0,6.322490479372661,63.19738104518513,0,very_poor,very_fast,low,medium,1.4639695485432945e-09,0.0,instance_only,single_component,1,Only instance-wise AMC contrastive loss
5,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00024798393249511716,200,0.1953125,33476141646.12834,33.47614164612834,25,0.006199598312377929,0.01239919662475586,0.0,0.0,0.0,0.0,2699.863762083657,140.0,9.415162483517253,59.27798467555513,0,very_poor,very_fast,low,medium,1.3776885138617624e-09,0.0,instance_only,single_component,2,Only instance-wise AMC contrastive loss
6,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002629518508911133,200,0.1953125,25325572558.948574,25.325572558948576,25,0.006573796272277833,0.013147592544555664,0.0,0.0,0.0,0.0,1926.2517052550231,140.0,6.835293058564881,53.55744734949681,0,very_poor,very_fast,low,medium,1.4608436160617405e-09,0.0,instance_only,single_component,3,Only instance-wise AMC contrastive loss
7,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002540874481201172,200,0.1953125,31243973629.57772,31.24397362957772,25,0.00635218620300293,0.01270437240600586,0.0,0.0,0.0,0.0,2459.3087034198916,140.0,12.367255555808956,54.5794904962076,0,very_poor,very_fast,low,medium,1.4115969340006511e-09,0.0,temporal_only,single_component,1,Only temporal AMC contrastive loss
8,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002830028533935547,200,0.1953125,22816127068.98649,22.81612706898649,25,0.007075071334838867,0.014150142669677734,0.0,0.0,0.0,0.0,1612.4308850877558,140.0,19.431460424098887,60.46256136470626,0,very_poor,very_fast,low,low,1.5722380744086374e-09,0.0,temporal_only,single_component,2,Only temporal AMC contrastive loss
9,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002670907974243164,200,0.1953125,20269353271.86259,20.26935327186259,25,0.00667726993560791,0.01335453987121582,0.0,0.0,0.0,0.0,1517.7874690801484,140.0,13.666797027814459,62.078096420955546,0,very_poor,very_fast,low,low,1.4838377634684244e-09,0.0,temporal_only,single_component,3,Only temporal AMC contrastive loss
10,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00023474216461181642,200,0.1953125,29004876328.513733,29.00487632851373,25,0.00586855411529541,0.01173710823059082,0.0,0.0,0.0,0.0,2471.2114567468457,140.0,7.41736628852668,51.12190840337871,0,very_poor,very_fast,low,medium,1.3041231367323133e-09,0.0,both_amc,two_component,1,Both AMC losses (no temperature)
11,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002507829666137695,200,0.1953125,28102587591.17318,28.10258759117318,25,0.006269574165344237,0.012539148330688477,0.0,0.0,0.0,0.0,2241.1879060713027,140.0,11.76641846549445,61.91615495611757,0,very_poor,very_fast,low,medium,1.3932387034098308e-09,0.0,both_amc,two_component,2,Both AMC losses (no temperature)
12,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00023605823516845704,200,0.1953125,34992383233.863434,34.992383233863436,25,0.005901455879211426,0.011802911758422852,0.0,0.0,0.0,0.0,2964.724633215359,140.0,18.276464840341745,60.97014765028592,0,very_poor,very_fast,low,medium,1.3114346398247612e-09,0.0,both_amc,two_component,3,Both AMC losses (no temperature)
13,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002669477462768555,200,0.1953125,24390114203.57113,24.39011420357113,25,0.006673693656921388,0.013347387313842773,0.0,0.0,0.0,0.0,1827.3324681509603,140.0,11.395752989978758,53.20859688880998,0,very_poor,very_fast,low,low,1.4830430348714194e-09,0.0,instance_with_temp,two_component,1,Instance AMC + temperature scheduling
14,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002526950836181641,200,0.1953125,21337157658.25991,21.337157658259912,25,0.006317377090454102,0.012634754180908203,0.0,0.0,0.0,0.0,1688.7671380660108,140.0,8.01792156049921,48.52021373483649,0,very_poor,very_fast,low,low,1.4038615756564671e-09,0.0,instance_with_temp,two_component,2,Instance AMC + temperature scheduling
15,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002532052993774414,200,0.1953125,26409076166.66412,26.40907616666412,25,0.006330132484436035,0.01266026496887207,0.0,0.0,0.0,0.0,2085.9813148932035,140.0,13.24799256224786,54.26099872964585,0,very_poor,very_fast,low,medium,1.4066961076524523e-09,0.0,instance_with_temp,two_component,3,Instance AMC + temperature scheduling
16,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002497434616088867,200,0.1953125,36423270590.13954,36.423270590139545,25,0.006243586540222168,0.012487173080444336,0.0,0.0,0.0,0.0,2916.854788149015,140.0,18.90649342354465,55.11693488943888,0,very_poor,very_fast,low,medium,1.3874636756049263e-09,0.0,temporal_with_temp,two_component,1,Temporal AMC + temperature scheduling
